Aircraft.Category,records,total_fatal,total_serious,total_minor,total_uninjured,incidents_with_fatal,incidents_with_serious,avg_fatal_per_record,prop_incidents_with_fatal,avg_serious_per_record
Airplane,27617,16029,7262,6286,170111,5161,3979,0.5804033747329543,0.18687764782561467,0.2629539776224789
Balloon,231,43,186,185,842,16,94,0.18614718614718614,0.06926406926406926,0.8051948051948052
Blimp,4,0,0,3,4,0,0,0.0,0.0,0.0
Glider,508,99,113,112,337,86,100,0.19488188976377951,0.16929133858267717,0.22244094488188976
Gyrocraft,173,44,55,30,84,37,47,0.2543352601156069,0.2138728323699422,0.3179190751445087
Helicopter,3440,1778,1040,892,3873,790,645,0.516860465116279,0.22965116279069767,0.3023255813953488
Powered Parachute,91,15,40,73,23,13,33,0.16483516483516483,0.14285714285714285,0.43956043956043955
Powered-Lift,5,0,1,0,2,0,1,0.0,0.0,0.2
Rocket,1,1,0,1,0,1,0,1.0,1.0,0.0
ULTR,1,0,0,1,0,0,0,0.0,0.0,0.0
UNK,2,0,0,0,0,0,0,0.0,0.0,0.0
Ultralight,30,10,11,8,10,8,8,0.3333333333333333,0.26666666666666666,0.36666666666666664
Unknown,56616,32105,12610,19835,266555,11641,8136,0.5670658471103575,0.20561325420375864,0.22272855729829025
WSFT,9,10,1,2,1,6,1,1.1111111111111112,0.6666666666666666,0.1111111111111111
Weight-Shift,161,67,58,50,47,54,46,0.4161490683229814,0.33540372670807456,0.36024844720496896
